reporting_year,pcn_region_code,coverage
1981,EAP,87.370003
1981,ECA,0
1981,LAC,64.959999
1981,MNA,0
1981,OHI,55.970001
1981,SAS,86.440002
1981,SSA,2.28
1982,EAP,90.849998
1982,ECA,8.3599997
1982,LAC,65.059998
1982,MNA,15.4
1982,OHI,57.18
1982,SAS,89.739998
1982,SSA,2.28
1983,EAP,90.800003
1983,ECA,8.3699999
1983,LAC,71.190002
1983,MNA,38.799999
1983,OHI,63.779999
1983,SAS,89.709999
1983,SSA,23.73
1984,EAP,90.739998
1984,ECA,22.120001
1984,LAC,76.360001
1984,MNA,40.380001
1984,OHI,66.199997
1984,SAS,98.699997
1984,SSA,22.17
1985,EAP,90.68
1985,ECA,23.26
1985,LAC,77.32
1985,MNA,51.860001
1985,OHI,66.18
1985,SAS,98.760002
1985,SSA,25.030001
1986,EAP,90.639999
1986,ECA,30.4
1986,LAC,80.260002
1986,MNA,51.970001
1986,OHI,65.419998
1986,SAS,98.800003
1986,SSA,28.32
1987,EAP,90.610001
1987,ECA,30.42
1987,LAC,81.25
1987,MNA,52.060001
1987,OHI,65.389999
1987,SAS,98.839996
1987,SSA,29.18
1988,EAP,90.580002
1988,ECA,30.43
1988,LAC,81.309998
1988,MNA,76.849998
1988,OHI,74.160004
1988,SAS,97.199997
1988,SSA,32.189999
1989,EAP,90.550003
1989,ECA,45.040001
1989,LAC,83.879997
1989,MNA,76.800003
1989,OHI,74.870003
1989,SAS,97.199997
1989,SSA,44.049999
1990,EAP,95.019997
1990,ECA,84.400002
1990,LAC,85.080002
1990,MNA,76.68
1990,OHI,74.870003
1990,SAS,97.169998
1990,SSA,53.099998
1991,EAP,95.010002
1991,ECA,84.300003
1991,LAC,92.519997
1991,MNA,76.480003
1991,OHI,74.870003
1991,SAS,97.110001
1991,SSA,57.580002
1992,EAP,95.129997
1992,ECA,84.790001
1992,LAC,92.610001
1992,MNA,76.220001
1992,OHI,76.029999
1992,SAS,97.029999
1992,SSA,59.830002
1993,EAP,95.410004
1993,ECA,87.169998
1993,LAC,90.529999
1993,MNA,75.919998
1993,OHI,76.040001
1993,SAS,98.629997
1993,SSA,71.019997
1994,EAP,95.400002
1994,ECA,87.699997
1994,LAC,92.160004
1994,MNA,70.599998
1994,OHI,76.040001
1994,SAS,98.550003
1994,SSA,73.760002
1995,EAP,95.389999
1995,ECA,94.760002
1995,LAC,94.339996
1995,MNA,76.239998
1995,OHI,76.040001
1995,SAS,98.5
1995,SSA,67.720001
1996,EAP,95.379997
1996,ECA,96.010002
1996,LAC,94.139999
1996,MNA,86.660004
1996,OHI,75.260002
1996,SAS,98.470001
1996,SSA,70.089996
1997,EAP,95.370003
1997,ECA,96.019997
1997,LAC,94.190002
1997,MNA,86.57
1997,OHI,76
1997,SAS,22.25
1997,SSA,62.389999
1998,EAP,95.360001
1998,ECA,84.769997
1998,LAC,95.870003
1998,MNA,86.489998
1998,OHI,75.989998
1998,SAS,22.34
1998,SSA,71.599998
1999,EAP,95.360001
1999,ECA,99.459999
1999,LAC,95.889999
1999,MNA,75.580002
1999,OHI,75.989998
1999,SAS,20.690001
1999,SSA,74.970001
2000,EAP,95.120003
2000,ECA,98.690002
2000,LAC,95.940002
2000,MNA,69.690002
2000,OHI,77.080002
2000,SAS,20.82
2000,SSA,60.66
2001,EAP,95.099998
2001,ECA,99.839996
2001,LAC,95.989998
2001,MNA,76.480003
2001,OHI,77.160004
2001,SAS,22.6
2001,SSA,73.580002
2002,EAP,95.099998
2002,ECA,98.980003
2002,LAC,95.900002
2002,MNA,46.990002
2002,OHI,77.160004
2002,SAS,98.43
2002,SSA,80.900002
2003,EAP,95.110001
2003,ECA,98.970001
2003,LAC,96.519997
2003,MNA,76.309998
2003,OHI,82.019997
2003,SAS,98.389999
2003,SSA,90.309998
2004,EAP,95.089996
2004,ECA,98.959999
2004,LAC,96.559998
2004,MNA,84.959999
2004,OHI,82.010002
2004,SAS,98.339996
2004,SSA,88.239998
2005,EAP,95.089996
2005,ECA,98.949997
2005,LAC,94.940002
2005,MNA,84.980003
2005,OHI,94.620003
2005,SAS,98.309998
2005,SSA,88.769997
2006,EAP,95.080002
2006,ECA,98.940002
2006,LAC,94.970001
2006,MNA,84.760002
2006,OHI,94.470001
2006,SAS,98.269997
2006,SSA,94.75
2007,EAP,95.440002
2007,ECA,93.220001
2007,LAC,95.010002
2007,MNA,78.550003
2007,OHI,94.300003
2007,SAS,96.589996
2007,SSA,73.690002
2008,EAP,95.440002
2008,ECA,93.129997
2008,LAC,94.559998
2008,MNA,78.459999
2008,OHI,94.110001
2008,SAS,98.260002
2008,SSA,89.419998
2009,EAP,95.410004
2009,ECA,91.150002
2009,LAC,96.290001
2009,MNA,84.010002
2009,OHI,93.949997
2009,SAS,98.239998
2009,SSA,82.559998
2010,EAP,95.440002
2010,ECA,90.980003
2010,LAC,89.029999
2010,MNA,74.360001
2010,OHI,93.790001
2010,SAS,98.220001
2010,SSA,91.809998
2011,EAP,95.43
2011,ECA,90.809998
2011,LAC,91.480003
2011,MNA,91.059998
2011,OHI,94.5
2011,SAS,98.190002
2011,SSA,92.839996
2012,EAP,98
2012,ECA,90.709999
2012,LAC,91.489998
2012,MNA,91.330002
2012,OHI,94.389999
2012,SAS,98.150002
2012,SSA,89.690002
2013,EAP,97.620003
2013,ECA,90.620003
2013,LAC,91.529999
2013,MNA,91.650002
2013,OHI,94.300003
2013,SAS,98.110001
2013,SSA,91.559998
2014,EAP,97.599998
2014,ECA,90.510002
2014,LAC,91.57
2014,MNA,89.489998
2014,OHI,94.209999
2014,SAS,96.510002
2014,SSA,94.169998
2015,EAP,97.589996
2015,ECA,89.699997
2015,LAC,91.639999
2015,MNA,77.129997
2015,OHI,94.129997
2015,SAS,21.6
2015,SSA,91
2016,EAP,97.550003
2016,ECA,89.599998
2016,LAC,90.019997
2016,MNA,67.480003
2016,OHI,94.050003
2016,SAS,21.68
2016,SSA,88.480003
2017,EAP,97.550003
2017,ECA,89.510002
2017,LAC,90.160004
2017,MNA,58.169998
2017,OHI,82.419998
2017,SAS,21.77
2017,SSA,87.410004
2018,EAP,97.480003
2018,ECA,89.410004
2018,LAC,86.720001
2018,MNA,50.880001
2018,OHI,82.449997
2018,SAS,21.85
2018,SSA,72.580002
2019,EAP,95.940002
2019,ECA,87.410004
2019,LAC,86.830002
2019,MNA,47.91
2019,OHI,82.449997
2019,SAS,21.940001
2019,SSA,55.419998
1981,WLD,60.360001
1982,WLD,63.720001
1983,WLD,68.260002
1984,WLD,72.18
1985,WLD,73.089996
1986,WLD,74.169998
1987,WLD,74.349998
1988,WLD,76.879997
1989,WLD,79.650002
1990,WLD,85.440002
1991,WLD,86.449997
1992,WLD,86.910004
1993,WLD,88.470001
1994,WLD,88.669998
1995,WLD,89.059998
1996,WLD,89.709999
1997,WLD,71.970001
1998,WLD,72.089996
1999,WLD,72.629997
2000,WLD,70.769997
2001,WLD,72.879997
2002,WLD,89.57
2003,WLD,92.800003
2004,WLD,92.949997
2005,WLD,94.82
2006,WLD,95.470001
2007,WLD,91.93
2008,WLD,94.120003
2009,WLD,93.5
2010,WLD,93.519997
2011,WLD,94.75
2012,WLD,95.050003
2013,WLD,95.160004
2014,WLD,94.989998
2015,WLD,76.040001
2016,WLD,75.040001
2017,WLD,72.720001
2018,WLD,69.919998
2019,WLD,66.699997
1981,TOT,61.369999
1982,TOT,65.220001
1983,TOT,69.260002
1984,TOT,73.5
1985,TOT,74.599998
1986,TOT,76.059998
1987,TOT,76.260002
1988,TOT,77.449997
1989,TOT,80.639999
1990,TOT,87.620003
1991,TOT,88.82
1992,TOT,89.120003
1993,TOT,90.970001
1994,TOT,91.190002
1995,TOT,91.629997
1996,TOT,92.540001
1997,TOT,71.190002
1998,TOT,71.339996
1999,TOT,71.989998
2000,TOT,69.57
2001,TOT,72.07
2002,TOT,91.900002
2003,TOT,94.800003
2004,TOT,94.970001
2005,TOT,94.860001
2006,TOT,95.650002
2007,TOT,91.5
2008,TOT,94.120003
2009,TOT,93.419998
2010,TOT,93.470001
2011,TOT,94.800003
2012,TOT,95.160004
2013,TOT,95.32
2014,TOT,95.129997
2015,TOT,72.919998
2016,TOT,71.779999
2017,TOT,71.059998
2018,TOT,67.800003
2019,TOT,64.059998
